Lvl,Spell,Ritual,Concentration,Range,"V,S,M",School,Casting Time,Description
3,Glyph of Warding,,,Touch,"V,S,M",abjuration,1 hour,A glyph on an object deals 5d8 damage in a 20-ft radius (damage/lvl) or casts a 3rd level spell (lvl/lvl) when triggered.
1,Goodberry,,,Touch,"V,S,M",transmutation,1 action,Create up to 10 berries that restore 1 hp each and keep their power for 24 hours.
4,Grasping Vine,,Concentration,30 ft,"V,S",conjuration,1 bonus action,The target must succeed on a Dex. save or be pulled 20 ft toward the vine.
1,Grease,,,60 ft,"V,S,M",conjuration,1 action,Creatures in a 10-ft square (difficult terrain) must succeed on a Dex. save or fall prone.
4,Greater Invisibility,,Concentration,Touch,"V,S",illusion,1 action,The target becomes invisible for 1 minute.
5,Greater Restoration,,,Touch,"V,S,M",abjuration,1 action,"End one condition (charmed or petrified), one curse, any ability scores or hp reduction, or one exhaustion level."
0,Green-Flame Blade,,,Self (5-ft radius),"V,M",evocation,1 action,"If a weapon attack hits, deals also fire damage equal to Ability.Mod to another creature (damage/lvl) within 5 ft."
4,Guardian of Faith,,,30 ft,V,conjuration,1 action,Hostiles creatures within a 10-ft radius of the created guardian must succeed on a Dex. save or take 20 radiant damage.
4,Guardian of Nature,,Concentration,Self,V,transmutation,1 bonus action,"Transform the caster into a Primal Beast (+10 ft, darkvision, ...) or a Great Tree (+10 hp, advantage to some rolls, ...)."
6,Guards and Wards,,,Touch,"V,S,M",abjuration,10 minutes,Create a ward that protect a 50-ft square. Can set a password to immunize individuals.
0,Guidance,,Concentration,Touch,"V,S",divination,1 action,The target can add 1d4 to one ability check of its choice.
1,Guiding Bolt,,,120 ft,"V,S",evocation,1 action,"If the spell attack hits, deals 4d6 radiant damage (damage/lvl) and the next attack roll will have advantage."
0,Gust,,,30 ft,"V,S",transmutation,1 action,Control air to move objects or creatures (Medium or smaller) or create harmless sensory effects.
2,Gust of Wind,,Concentration,Self (60-ft line),"V,S,M",evocation,1 action,"Creatures on a 60-ft-long, 10-ft-wide line mus succeed on a Str. save or be pushed 15 ft away."
1,Hail of Thorns,,Concentration,Self,V,conjuration,1 bonus action,Creatures in a 5-ft radius must succeed on a Dex. save or take 1d10 piercing damage (damage/lvl).
5,Hallow,,,Touch,"V,S,M",evocation,24 hours,"Prevent celestials, elementals, fey, fiends, and undead to enter a 60-ft-radius area and protect/handicap the targets."
4,Hallucinatory Terrain,,,300 ft,"V,S,M",illusion,10 minutes,Make a natural terrain looks like another type (for example a road becomes a swamp or a crevasse).
6,Harm,,,60 ft,"V,S",necromancy,1 action,The target must succeed on a Con. save or take 14d6 necrotic damage. The spell can't kill it however.
3,Haste,,Concentration,30 ft,"V,S,M",transmutation,1 action,"Target's speed is doubled. It also gains a +2 bonus to AC, advantage to Dex. saves and 1 additional action."
6,Heal,,,60 ft,"V,S",evocation,1 action,"1 creature regains 70 hp and are cured of diseases, blindness, and deafness (+10 hp/lvl)."
2,Healing Spirit,,Concentration,60 ft,"V,S",conjuration,1 bonus action,Creatures in touch with the spirit gain 1d6 hp (+1d6 hp/lvl).
1,Healing Word,,,60 ft,V,evocation,1 bonus action,1 creature regains 1d4+Ability.Mod (+1d4 hp/lvl).
2,Heat Metal,,Concentration,60 ft,"V,S,M",transmutation,1 action,Creatures in physical contact with the metal object take 2d8 fire damage (damage/lvl).
1,Hellish Rebuke,,,60 ft,"V,S",evocation,1 reaction,The target must succeed on a Dex. save or take 2d10 fire damage (damage/lvl).
6,Heroes' Feast,,,30 ft,"V,S,M",conjuration,10 minutes,"Produce a feast for 12 guests that cures diseases, immunizes to poison and increases hp by 2d10 for 24 hours."
1,Heroism,,Concentration,Touch,"V,S",enchantment,1 action,The target is immune to being frightened and gains temporary hp equal to its Ability.Mod each turns (+1 creature/lvl).
1,Hex,,Concentration,90 ft,"V,S,M",enchantment,1 bonus action,"If an attack hits, deals an extra 1d6 necrotic damage. Disadvantage on achosem ability check (duration/lvl)."
5,Hold Monster,,Concentration,90 ft,"V,S,M",enchantment,1 action,Target must succeed on a Wis. save or be paralyzed (+1 creature/lvl).
2,Hold Person,,Concentration,60 ft,"V,S,M",enchantment,1 action,The target must succeed on a Wis. save or be paralyzed (+1 creature/lvl).
8,Holy Aura,,Concentration,Self,"V,S,M",abjuration,1 action,Targets in a 30-ft radius have advantage on saving throws. Other creatures have disadvantage on attack rolls against them.
5,Holy Weapon,,Concentration,Touch,"V,S",evocation,1 bonus action,"The touched weapon shines, deals an extra 2d8 radiant damage, and can burst on a 30-ft radius (Save or 4d8 radiant)."
3,Hunger of Hadar,,Concentration,150 ft,"V,S,M",conjuration,1 action,Creatures in a 20-ft-radius sphere take 2d6 cold damage et must succeed on a Dex. save or take 2d6 acid damage.
1,Hunter's Mark,,Concentration,90 ft,V,divination,1 bonus action,The target take an extra 1d6 damage and caster has advantage on Wisdom (Perception/Survival) checks to find it (duration/lvl).
3,Hypnotic Pattern,,Concentration,120 ft,"S,M",illusion,1 action,"Creatures in a 30-ft cube must succeed on a Wis. save or be charmed and incapacitated, with a speed of 0."
1,Ice Knife,,,60 ft,"S,M",conjuration,1 action,"If the spell attack hits, deals 1d10 piercing damage + Dex. save or 2d6 cold damage (damage/lvl) within 5 ft."
4,Ice Storm,,,300 ft,"V,S,M",evocation,1 action,"Creatures in a 20-ft-radius, 40-ft-high cylinder must succeed on a Dex. save or take 2d8 bludgeoning damage and 4d6 cold damage."
1,Identify,Ritual,,Touch,"V,S,M",divination,1 minute,"The caster obtains properties of a magic item (attunement, charges) or knows if an item or a creature is affected by a spell."
8,Illusory Dragon,,Concentration,120 ft,S,illusion,1 action,Creatures that see this illusory Huge dragon must succedd on a Wis. save or be frightened for 1 min.
1,Illusory Script,Ritual,,Touch,"S,M",illusion,1 minute,Write a secret message that can only be read by a designated target or a creature with truesight.
5,Immolation,,Concentration,90 ft,V,evocation,1 action,The target within 90 ft must succeed on a Dex. save or take 8d6 fire damage and 4d6 fire damage thereafter.
9,Imprisonment,,,30 ft,"V,S,M",abjuration,1 minute,The target within 30 ft must succeed on a Wis. save or be held prisoner. The form is to choose from 6 options.
8,Incendiary Cloud,,Concentration,150 ft,"V,S",conjuration,1 action,Creatures in a 20-ft-radius sphere must succeed on a Dex. save or take 10d8 fire damage.
5,Infernal Calling,,Concentration,90 ft,"V,S,M",conjuration,1 minute,Summon 1 devil CR 6 unfriendly (CR +1/lvl).
0,Infestation,,,30 ft,"V,S,M",conjuration,1 action,The target must succeed on a Con. save or take 1d6 poison damage and move 5 ft in a random direction (damage/lvl).
1,Inflict Wounds,,,Touch,"V,S",necromancy,1 action,"If the spell attack hits, deals 3d10 necrotic damage (damage/lvl)."
5,Insect Plague,,Concentration,300 ft,"V,S,M",conjuration,1 action,Creatures in a 20-ft-radius sphere must succeed on a Con. save or take 4d10 piercing damage (damage/lvl).
3,Intellect Fortress,,Concentration,30 ft,V,abjuration,1 action,"A willing creature has resistance to psychic damage and advantage on Int., Wis. and Cha. saving throws (+1 creature/lvl)."
6,Investiture of Flame,,Concentration,Self,"V,S",transmutation,1 action,Creatures in a 15-ft-long line must succeed on a Dex. save or take 4d8 fire damage. Immunity and resistance to caster.
6,Investiture of Ice,,Concentration,Self,"V,S",transmutation,1 action,Creatures in a 15-ft cone must succeed on a Con. save or take 4d6 cold damage. Immunity and resistance to caster.
6,Investiture of Stone,,Concentration,Self,"V,S",transmutation,1 action,Creatures in a 15-ft radius must succeed on a Dex. save or be knocked prone. Resistance and move across earth/stone.
6,Investiture of Wind,,Concentration,Self,"V,S",transmutation,1 action,Creatures in a 15-ft cube must succeed on a Con. save or take 2d10 bludgeoning damage. Flying speed 60 ft.
2,Invisibility,,Concentration,Touch,"V,S,M",illusion,1 action,The target becomes invisible during 1 hour or until she attacks or casts a spell (+1 creature/lvl).
9,Invulnerability,,Concentration,Self,"V,S,M",abjuration,1 action,The caster gains immunity to all damage.
1,Jump,,,Touch,"V,S,M",transmutation,1 action,The target gets a jump distance multiplicated by 3.
2,Knock,,,60 ft,V,transmutation,1 action,"Unlock or unbar 1 object (door, chest, padlock, set of manacles, etc) or suppressed the arcane lock spell for 10 minutes."
5,Legend Lore,,,Self,"V,S,M",divination,10 minutes,"The caster obtains information about a person, place, or object. The lore consist of tales or stories."
4,Leomund's Secret Chest,,,Touch,"V,S,M",conjuration,1 action,Hide a chest (3 x 2 x 2 ft) and its contents in the Ethereal Plane.
3,Leomund's Tiny Hut,Ritual,,Self (10-ft-radius sphere),"V,S,M",evocation,1 minute,Create a 10-ft-radius dome that can shelter and protect 9 Medium creatures with the caster.
2,Lesser Restoration,,,Touch,"V,S",abjuration,1 action,"End one disease or one condition (blinded, deafened, paralyzed, or poisoned) on 1 creature."
2,Levitate,,Concentration,60 ft,"V,S,M",transmutation,1 action,1 creature or object that weighs up to 500 pounds rises vertically up to 20 ft then remains suspended.
3,Life Transference,,,30 ft,"V,S",necromancy,1 action,The caster takes 4d8 necrotic damage and another creature gains twice the amount (+1d8 hp/lvl).
0,Light,,,Touch,"V,M",evocation,1 action,Make an object to shed bright light in a 20-ft radius and dim light in an additional 20-ft radius.
3,Lightning Arrow,,Concentration,Self,"V,S",transmutation,1 bonus action,"If the attack hits, deals 4d8 Iightning damage. Creatures within 10 ft must succeed on a Dex. save or take 2d8 lightning damage."
3,Lightning Bolt,,,Self (100-ft line),"V,S,M",evocation,1 action,"Creatures on a 100-ft-long, 5-ft-wide line must succeed on a Dex. save or take 8d6 lightning damage (damage/lvl)."
0,Lightning Lure,,,Self (15-ft radius),V,evocation,1 action,The target must succeed on a Str. save or take 1d8 lightning damage and be pulled up to 10 ft.
2,Locate Animals or Plants,Ritual,,Self,"V,S,M",divination,1 action,Give the direction and distance to a kind of beast or plant within 5 miles.
4,Locate Creature,,Concentration,Self,"V,S,M",divination,1 action,The caster senses the direction in which a familiar creature is within a 1000-ft radius.
2,Locate Object,,Concentration,Self,"V,S,M",divination,1 action,"The caster senses the direction to the location of an objet you are familiar with, within a 1000 ft radius."
1,Longstrider,,,Touch,"V,S,M",transmutation,1 action,The target gets a speed increased by 10 ft (+1 creature/lvl).
8,Maddening Darkness,,Concentration,150 ft,"V,M",evocation,1 action,Creatures in a 60-ft-radius sphere of darkness must succeed on a Wis. save or take 8d8 psychic damage.
5,Maelstrom,,Concentration,120 ft,"V,S,M",evocation,1 action,Creatures in a 30-ft radius must succeed on a Str. save or take 6d6 bludgeoning damage and be pulled towards the center.
1,Mage Armor,,,Touch,"V,S,M",abjuration,1 action,"The target, willing and not wearing armor, gets an AC equal to 13+Dex.Mod."
0,Mage Hand,,,30 ft,"V,S",conjuration,1 action,"Create a spectral hand that can in a 30-ft radius manipulate an object, open a door, stow an item, etc."
3,Magic Circle,,,10 ft,"V,S,M",abjuration,1 minute,"Create a 10-ft-radius, 20-ft-tall cylinder that protect from celestials, elementals, fey, fiends, and/or undead (+1 h/lvl)."
6,Magic Jar,,,Self,"V,S,M",necromancy,1 minute,The caster projects his soul into an urn and then returns to his body or possesses a humanoid body.
1,Magic Missile,,,120 ft,"V,S",evocation,1 action,3 missiles deal automatically 1d4+1 force damage each to one or several creatures (+1 missile/lvl).
2,Magic Mouth,Ritual,,30 ft,"V,S,M",illusion,1 minute,Creates a magical mouth that will repeat a message of up to 25 words when a trigger condition is met.
0,Magic Stone,,,Touch,"V,S",transmutation,1 bonus action,Up to 3 pebbles deal 1d6 + Ability.Mod bludgeoning damage if the spell attack hits.
2,Magic Weapon,,Concentration,Touch,"V,S",transmutation,1 bonus action,Turn a weapon into a +1 magic weapon for attack rolls and damage rolls (+2 or +3 bonus/lvl).
3,Major Image,,Concentration,120 ft,"V,S,M",illusion,1 action,"Create the image of an animated object or creature, with sounds and smells (without concentration/lvl)."
5,Mass Cure Wounds,,,60 ft,"V,S",evocation,1 action,Up to 6 creatures regain 3d8+Spell.Ability.Mod (+1d8 hp/lvl).
9,Mass Heal,,,60 ft,"V,S",evocation,1 action,"Several creatures regain a total of 700 ph and are cured of diseases, blindness, and deafness."
3,Mass Healing Word,,,60 ft,V,evocation,1 bonus action,Up to 6 creatures regain 1d4+Ability.Mod (+1d4 hp/lvl).
9,Mass Polymorph,,Concentration,120 ft,"V,S,M",transmutation,1 action,Transform up to 10 creatures into new beast forms whose CR/level are equal to or less than the target's CR/level.
6,Mass Suggestion,,,60 ft,"V,M",enchantment,1 action,Up to 12 targets must succeed on a Wis. save or follow the suggestion given by the caster (duration/lvl).
2,Maximillian's Earthen Grasp,,Concentration,30 ft,"V,S,M",transmutation,1 action,The target must succeed on a Str. save or take 2d6 bludgeoning damage and be restrained.
8,Maze,,Concentration,60 ft,"V,S",conjuration,1 action,Banish a creature into a labyrinthine demiplane. Intelligence check to escape before the end of the spell.
3,Meld into Stone,Ritual,,Touch,"V,S",transmutation,1 action,The caster can penetrate the stone.
2,Melf's Acid Arrow,,,90 ft,"V,S,M",evocation,1 action,"If the spell attack hits, deals 4d4 acid damage, then 2d4 acid damage on the next round (damage/lvl)."
3,Melf's Minute Meteors,,Concentration,Self,"V,S,M",evocation,1 action,Creatures within 5 ft must succeed on a Dex.save or take 2d6 fire damage for each of the 6 meteors (+2 meteors/lvl).
0,Mending,,,Touch,"V,S,M",transmutation,1 minute,"Repair break or tear in an object (broken chain link, two halves of a broken key, torn cloak, leaking wineskin, etc)."
6,Mental Prison,,Concentration,60 ft,S,illusion,1 action,The target must succeed on an Int. save or take 5d10 psychic damage and believe to be surrounded by fire or other hazard.
0,Message,,,120 ft,"V,S,M",transmutation,1 action,The caster whispers a message to a creature within 120 ft who will be the only one to hear it. It can reply the same way.
9,Meteor Swarm,,,1 mile,"V,S",evocation,1 action,Creatures in a 40-ft-radius sphere must succeed on a Dex. save or take 20d6 fire damage and 20d6 bludgeoning damage.
8,Mighty Fortress,,,1 mile,"V,S,M",conjuration,1 minute,Let erupt a forteresse of stone on a 120 x 120 ft area for 7 days.
8,Mind Blank,,,Touch,"V,S",abjuration,1 action,"The target is immune to psychic damage, reading thoughts, divination spells, and the charmed condition."
0,Mind Sliver,,,60 ft,V,enchantment,1 action,The target must succeed on an Int. save or take 1d6 psychic damage and substract -1d4 on it's next saving throw (damage/lvl).
2,Mind Spike,,Concentration,60 ft,S,divination,1 action,The target must succeed on a Wis. save or take 3d8 psychic damage (damage/lvl).
0,Minor Illusion,,,30 ft,"S,M",illusion,1 action,Create a sound or an immobile image of an object no larger than a 5-ft cube.
7,Mirage Arcane,,,Sight,"V,S",illusion,10 minutes,"Tansform the appearance (sight, sound, smell and feel) of a 1 mile square."
2,Mirror Image,,,Self,"V,S",illusion,1 action,"Create 3 illusory duplicates of the caster, each of them having a CA equal to 10 + Dex.Mod and being destroyed if they are hit."
5,Mislead,,Concentration,Self,S,illusion,1 action,"The caster becomes invisible and creates a double that moves, acts and speaks. The caster can see and hear through this double."
2,Misty Step,,,Self,V,conjuration,1 bonus action,The caster is teleported up to 30 feet.
5,Modify Memory,,Concentration,30 ft,"V,S",enchantment,1 action,The target must succeed on a Wis. save or be charmed and its memory altered (seniority of memories/lvl).
0,Mold Earth,,,30 ft,S,transmutation,1 action,"Control dirt or stone to excavate, shape, turn it into difficult terrain, etc."
2,Moonbeam,,Concentration,120 ft,"V,S,M",evocation,1 action,"Creatures in a 5-ft-radius, 40-ft-high cylinder must succeed on a Con. save or take 2d10 radiant damage (damage/lvl)."
4,Mordenkainen's Faithful Hound,,,30 ft,"V,S,M",conjuration,1 action,Summon an invisible watchdog that barks when a creature approaches and attacks it (4d8 piercing damage).
7,Mordenkainen's Magnificent Mansion,,,300 ft,"V,S,M",conjuration,1 minute,Create an extradimensional mansion with all the comforts that can shelter the caster and other creatures.
4,Mordenkainen's Private Sanctum,,,120 ft,"V,S,M",abjuration,10 minutes,Create a secure cube up to 100 ft on each side. The type of protection is to choose (+100 ft on each side/lvl).
7,Mordenkainen's Sword,,Concentration,60 ft,"V,S,M",evocation,1 action,"If the spell attack hits, deals 3d10 force damage. The sword can move."
6,Move Earth,,Concentration,120 ft,"V,S,M",transmutation,1 action,"Shape dirt, sand, or clay, but not stone (raise, lower, flatten, create a trench, etc) in a 40-ft square in 10 min."
5,Negative Energy Flood,,,60 ft,"V,M",necromancy,1 action,"The target must succeed on a Con. save or take 5d12 necrotic damage. Killed that way, the target rises as a zombi."
3,Nondetection,,,Touch,"V,S,M",abjuration,1 action,Protect a creature or an object from any divination magic or magical scrying.
2,Nystul's Magic Aura,,,Touch,"V,S,M",illusion,1 action,Reveal false information about a creature or an object that would be the target of a divination spell.
6,Otiluke's Freezing Sphere,,,300 ft,"V,S,M",evocation,1 action,Creatures in a 60-ft-radius sphere must succeed on a Con. save or take 10d6 cold damage (damage/lvl).
4,Otiluke's Resilient Sphere,,Concentration,30 ft,"V,S,M",evocation,1 action,The Large size or smaller target must succeedd on a Dex. save or be enclosed for the spell duration.
6,Otto's Irresistible Dance,,Concentration,30 ft,V,enchantment,1 action,The target must succeed on a Wis. save or dance (disadvantage on Dex. save and attack rolls).
2,Pass without Trace,,Concentration,Self,"V,S,M",abjuration,1 action,The caster and his allies within 30 ft get a +10 bonus to Dexterity (Discretion) checks and leave behind no tracks or traces.
5,Passwall,,,30 ft,"V,S,M",transmutation,1 action,"Open a 5-ft wide, 8-ft tall, 20-ft deep passage through stone, wood or plaster."
2,Phantasmal Force,,Concentration,60 ft,"V,S,M",illusion,1 action,Tha target must succeed on an Int. save or perceive as real an object or creature created by the caster (with sound).
4,Phantasmal Killer,,Concentration,120 ft,"V,S",illusion,1 action,The target must succeed on a Wis. save or be frightened then take 4d10 psychic damage (damage/lvl) on each of it's turn.
3,Phantom Steed,Ritual,,30 ft,"V,S",illusion,1 minute,Create a quasi-real Large horselike creature and everything to mount it.
6,Planar Ally,,,60 ft,"V,S",conjuration,10 minutes,"Summon a celestial, elemental, or fiend that will help the caster in exchange for payment (1000 gp/h, sacrifice, quest, etc)."
5,Planar Binding,,,60 ft,"V,S,M",abjuration,1 hour,"The target (celestial, elemental, fey, or fiend) must succeed on a Cha. save or serve the caster (duration/lvl)."
7,Plane Shift,,,Touch,"V,S,M",conjuration,1 action,"The caster and up to 8 creatures are transported to another plane of existence, or a creature is banished (Cha. save)."
3,Plant Growth,,,150 ft,"V,S",transmutation,1 action or 8 hours,"Plants in the area grow vigorously, or over a year the plants produce twice the normal amount of food."
0,Poison Spray,,,10 ft,"V,S",conjuration,1 action,The target must succeed on a Con. save or take 1d12 poison damage (damage/lvl).
4,Polymorph,,Concentration,60 ft,"V,S,M",transmutation,1 action,Transform a target into a new beast form whose CR/level is equal to or less than the target's CR/level.
9,Power Word Heal,,,Touch,"V,S",evocation,1 action,"The target regains all its hp and charmed, frightened, paralyzed, and stunned conditions end."
9,Power Word Kill,,,60 ft,V,enchantment,1 action,The target (100 hp or fewer) dies!
7,Power Word Pain,,,60 ft,V,enchantment,1 action,"The target (100 hp max) has its speed reduced to 10 ft, disadvantage to d20 rolls and has to make a Con. save to cast spells."
8,Power Word Stun,,,60 ft,V,enchantment,1 action,The target (150 hp or fewer) is stunned until it succeeds on a Con. save.
2,Prayer of Healing,,,30 ft,V,evocation,10 minutes,Up to 6 creatures regain 2d8+Ability.Mod (+1d8 hp/lvl).
0,Prestidigitation,,,10 ft,"V,S",transmutation,1 action,"Minor magical trick (sensory effect, light a torch, clean an object, warm, make a symbol appear, create a trinket, etc)."
0,Primal Savagery,,,Self,S,transmutation,1 action,"If the melee spell attack hits, deals 1d10 acid damage (damage/lvl)."
6,Primordial Ward,,Concentration,Self,"V,S",abjuration,1 action,"The caster gets resistance to acid, cold, fire, lightning, and thunder damage or immunity to a single type."
7,Prismatic Spray,,,Self (60-ft cone),"V,S",evocation,1 action,Creatures in a 60-ft cone must succeed on a Dex. save or take 10d6 damage of a randomly determined type.
9,Prismatic Wall,,,60 ft,"V,S",abjuration,1 action,Create a multi-layered wall that inflicts different effects and damage depending on the layer.
0,Produce Flame,,,Self,"V,S",conjuration,1 action,"If the spell attack hits, deals 1d8 fire damage (damage/lvl). Shed bright light in 10 ft and dim light in additional 10 ft."
6,Programmed Illusion,,,120 ft,"V,S,M",illusion,1 action,"Create the image of an animated object or creature, with sounds, for 5 min, with a triggering condition."
7,Project Image,,Concentration,500 miles,"V,S,M",illusion,1 action,"Create a copy of the caster that mimics him, moves and emits sounds. The caster can see and hear through this double."
3,Protection from Energy,,Concentration,Touch,"V,S",abjuration,1 action,"The target gains resistance to one damage type (acid, cold, fire, lightning, or thunder)."
1,Protection from Evil and Good,,Concentration,Touch,"V,S,M",abjuration,1 action,"The target is protected (disadvantage on attack rolls) against aberrations, celestials, elementals, fey, fiends, and undead."
2,Protection from Poison,,,Touch,"V,S",abjuration,1 action,"Neutralize 1 poison in one creature, give advantage on saving throws againt being poisoned, and resistance to poison damage."
9,Psychic Scream,,,90 ft,S,enchantment,1 action,Up to 10 creatures must succeed on an Int. save or take 14d6 psychic damage.
1,Purify Food and Drink,Ritual,,10 ft,"V,S",transmutation,1 action,Purified and rendered free of poison and disease nonmagical food and drink in a 5-ft-radius sphere.
2,Pyrotechnics,,,60 ft,"V,S",transmutation,1 action,Target flame within 60-ft and make them explode (Con. save or blinded) or spread smoke (heavily obscured).
5,Raise Dead,,,Touch,"V,S,M",necromancy,1 hour,Take back to life (1 hp) a creature died for no longer than 10 days. Doesn't restore missing body parts.
5,Rary's Telepathic Bond,Ritual,,30 ft,"V,S,M",divination,1 action,Create a telepathic link between up to 8 people in a 30-ft radius for 1 hour.
2,Ray of Enfeeblement,,Concentration,60 ft,"V,S",necromancy,1 action,"If the spell attack hits, the target deals only half damage with a weapon attack that use Strength (Con. save)."
0,Ray of Frost,,,60 ft,"V,S",evocation,1 action,"If the spell attack hits, deals 1d8 cold damage (damage/lvl) and the target's speed is reduced by 10 ft."
1,Ray of Sickness,,,60 ft,"V,S",necromancy,1 action,"If the attack hits, deals 2d8 poison damage (damage/lvl) and the target can be poisoned (Con. save)."
7,Regenerate,,,Touch,"V,S,M",transmutation,1 minute,The target regains 4d8+15 hp then 1 hp per round and its severed members are restored.
5,Reincarnate,,,Touch,"V,S,M",transmutation,1 hour,Reincarnate the soul of a humanoid died for no longer than 10 days. The race of the new body is determined at random.
3,Remove Curse,,,Touch,"V,S",abjuration,1 action,End all curses affecting one creature or object.
0,Resistance,,Concentration,Touch,"V,S,M",abjuration,1 action,The target can add 1d4 to one saving throw of its choice.
7,Resurrection,,,Touch,"V,S,M",necromancy,1 hour,Take back to life (all hp) a creature died for no longer than 100 years (except of old age). Restore any missing body parts.
7,Reverse Gravity,,Concentration,100 ft,"V,S,M",transmutation,1 action,"Invert gravity in a 50-ft-radius, 100-ft-high cylinder."
3,Revivify,,,Touch,"V,S,M",necromancy,1 action,Take back to 1 hp a creature that has died within the last minute (except of old age).
2,Rope Trick,,,Touch,"V,S,M",transmutation,1 action,Vertically raise a rope that lead to an extradimensional space that can hold 8 Medium creatures.
0,Sacred Flame,,,60 ft,"V,S",evocation,1 action,The target must succeed on a Dex. save or take 1d8 radiant damage (damage/lvl).
1,Sanctuary,,,30 ft,"V,S,M",abjuration,1 bonus action,The protected creature forces a Wis. save to his aggressor in case of attack or offensive spell to no longer be the target.
6,Scatter,,,30 ft,V,conjuration,1 action,Up to 5 creatures are teleported (Wis. save if unwilling) within 120 ft.
2,Scorching Ray,,,120 ft,"V,S",evocation,1 action,"If the spell attacks hit, 3 rays deal 2d6 fire damage each (+1 ray/lvl)."
5,Scrying,,Concentration,Self,"V,S,M",divination,10 minutes,Allow you to see and hear a specific creature (can also target a location) on the same plane (Wis. save).
1,Searing Smite,,Concentration,Self,V,evocation,1 bonus action,"If the attack hits, deals an extra 1d6 fire damage and ignite the target (damage/lvl)."
2,See Invisibility,,,Self,"V,S,M",divination,1 action,"The caster sees invisible creatures and objects, and into the Ethereal Plane."
5,Seeming,,,30 ft,"V,S",illusion,1 action,Change physical appearance as well as clothing and equipment of targets (saving throw for unwilling).
3,Sending,,,Unlimited,"V,S,M",evocation,1 action,"Send a 25-words message to a creature you are familiar with, regardless of the distance or the plan. It can answer it."
7,Sequester,,,Touch,"V,S,M",transmutation,1 action,Protect a willing creature (who becomes invisible and unconscious) or an object from divination spells.
2,Shadow Blade,,Concentration,Self,"V,S",illusion,1 bonus action,"Create a weapon that deals 2d8 psychic damage with the finesse, light, and thrown properties (damage/lvl)."
4,Shadow of Moil,,Concentration,Self,"V,S,M",necromancy,1 action,Tha caster gains resistance to radiant damage and deals 2d8 necrotic damage to creatures that hit him with an attack.
0,Shape Water,,,30 ft,S,transmutation,1 action,"Control water to obtain various minor effects such as changing color, freezing, changing the flow, etc."
9,Shapechange,,Concentration,Self,"V,S,M",transmutation,1 action,The caster takes the form of a creature he has seen at least once with a CR equal to its level or lower.
2,Shatter,,,60 ft,"V,S,M",evocation,1 action,Creatures in a 10-ft-radius sphere must succeed on a Con. save or take 3d8 thunder damage (damage/lvl).
1,Shield,,,Self,"V,S",abjuration,1 reaction,"In reaction, the caster gains a +5 bonus to AC and take no damage from the magic missile spell."
1,Shield of Faith,,Concentration,60 ft,"V,S,M",abjuration,1 bonus action,The target gets a +2 bonus to AC.
0,Shillelagh,,,Touch,"V,S,M",transmutation,1 bonus action,Make magical a wooden weapon. Its damage become a d8 and the caster can use his spellcasting ability instead of Strength.
0,Shocking Grasp,,,Touch,"V,S",evocation,1 action,"If the spell attack hits, deals 1d8 lightning damage (damage/lvl) and the target can't take reactions."
4,Sickening Radiance,,Concentration,120 ft,"V,S",evocation,1 action,Creatures in a 30-ft radius must succeed on a Con. save or take 4d10 radiant damage and one level of exhaustion.
2,Silence,Ritual,Concentration,120 ft,"V,S",illusion,1 action,Block all sounds within a 20-ft-radius sphere.
1,Silent Image,,Concentration,60 ft,"V,S,M",illusion,1 action,Create the image of an object or a creature (without sound and no larger than a 15-ft cube) and lets it move.
7,Simulacrum,,,Touch,"V,S,M",illusion,12 hours,"Create a duplicate of a beast or humanoid with the same abilities, half of the hp and without equipment."
5,Skill Empowerment,,Concentration,Touch,"V,S",transmutation,1 action,The target doubles its proficiency bonus for one skill.
2,Skywrite,Ritual,Concentration,Sight,"V,S",transmutation,1 action,Create up to 10 words in the clouds.
1,Sleep,,,90 ft,"V,S,M",enchantment,1 action,"5d8 hp of creatures fall unconscious, starting with the creature with the lowest current hp (+2d8 hp/lvl)."
3,Sleet Storm,,Concentration,150 ft,"V,S,M",conjuration,1 action,"Creatures in a 20-ft-radius, 20-ft-tall cylinder (heavily obscured) must succeed on a Dex. save or fall prone."
3,Slow,,Concentration,120 ft,"V,S,M",transmutation,1 action,"Up to 6 targets must succeed on a Wis. save, or have their speed and actions reduced and -2 to CA and Dex. saves."
1,Snare,,,Touch,"S,M",abjuration,1 minute,Create a magic trap (Dex. save or the Small to Large size creature is hoisted into the air).
2,Snilloc's Snowball Swarm,,,90 ft,"V,S,M",evocation,1 action,Creatures in a 5-ft-radius sphere must succeed on a Dex. save or take 3d6 cold damage (damage/lvl).
6,Soul Cage,,,60 ft,"V,S,M",necromancy,1 reaction,"Snatch a soul to regain hp, ask it a question, get advantage to a roll, or see a place it saw in life."
0,Spare the Dying,,,Touch,"V,S",necromancy,1 action,1 living creature with 0 hit points becomes stable.
1,Speak with Animals,Ritual,,Self,"V,S",divination,1 action,The caster communicates with beats that can share information or help.
3,Speak with Dead,,,10 ft,"V,S,M",necromancy,1 action,Allow a corpse that still has a mouth and is not an undead to answer 5 questions to the caster.
3,Speak with Plants,,,Self (30-ft radius),"V,S",transmutation,1 action,"The caster can communicate with plants within 30 ft, and turns difficult terrain into ordinary terrain or vice versa."
2,Spider Climb,,Concentration,Touch,"V,S,M",transmutation,1 action,The target can move along vertical surfaces while leaving its hands free and gains climbing speed.
